reclat,reclon,
42.95503,-78.82647,
42.95503,-78.82648,
42.95504,-78.82649,
42.95506,-78.8265,
42.95506,-78.82652,
42.95507,-78.82653,
42.95508,-78.82654,
42.95509,-78.82655,
42.9551,-78.82656,
42.95511,-78.82657,
42.95512,-78.82658,
42.95513,-78.82658,
42.95514,-78.82659,
42.95515,-78.82661,
42.95516,-78.82661,
42.95517,-78.82662,
42.95518,-78.82663,
42.95519,-78.82664,
42.9552,-78.82664,
42.95521,-78.82665,
42.95522,-78.82666,
42.95523,-78.82667,
42.95524,-78.82667,
42.95525,-78.82668,
42.95526,-78.82669,
42.95527,-78.82671,
42.95528,-78.82671,
42.95529,-78.82672,
42.9553,-78.82673,
42.95531,-78.82674,
42.95532,-78.82675,
42.95533,-78.82676,
42.95533,-78.82677,
42.95533,-78.82678,
42.95534,-78.82679,
42.95535,-78.82681,
42.95536,-78.82682,
42.95536,-78.82683,
42.95537,-78.82684,
42.95538,-78.82685,
42.95539,-78.82686,
42.9554,-78.82687,
42.9554,-78.82688,
42.95541,-78.82689,
42.95542,-78.8269,
42.95542,-78.8269,
42.95543,-78.82691,
42.95544,-78.82692,
42.95545,-78.82693,
42.95546,-78.82694,
42.95548,-78.82694,
42.95549,-78.82694,
42.95551,-78.82695,
42.95552,-78.82695,
42.95553,-78.82695,
42.95554,-78.82696,
42.95555,-78.82695,
42.95556,-78.82695,
42.95557,-78.82696,
42.95558,-78.82697,
42.95559,-78.82699,
42.9556,-78.827,
42.95561,-78.82702,
42.95562,-78.82704,
42.95564,-78.82705,
42.95565,-78.82706,
42.95567,-78.82707,
42.95568,-78.82709,
42.95569,-78.82711,
42.95569,-78.82712,
42.9557,-78.82713,
42.95571,-78.82714,
42.95572,-78.82715,
42.95573,-78.82716,
42.95574,-78.82717,
42.95574,-78.82718,
42.95575,-78.8272,
42.95575,-78.82721,
42.95576,-78.82721,
42.95576,-78.82722,
42.95577,-78.82724,
42.95578,-78.82725,
42.95578,-78.82727,
42.9558,-78.82728,
42.95581,-78.82729,
42.95582,-78.8273,
42.95582,-78.82731,
42.95583,-78.82732,
42.95583,-78.82733,
42.95584,-78.82733,
42.95585,-78.82734,
42.95586,-78.82735,
42.95587,-78.82736,
42.95587,-78.82737,
42.95588,-78.82738,
42.95588,-78.82739,
42.95589,-78.82739,
42.9559,-78.8274,
42.95591,-78.8274,
42.95591,-78.82741,
42.95592,-78.82741,
42.95593,-78.82742,
42.95594,-78.82743,
42.95595,-78.82745,
42.95596,-78.82746,
42.95597,-78.82746,
42.95599,-78.82746,
42.956,-78.82747,
42.95602,-78.82747,
42.95603,-78.82747,
42.95605,-78.82748,
42.95605,-78.82748,
42.95607,-78.82749,
42.95608,-78.8275,
42.95609,-78.82751,
42.95611,-78.82752,
42.95612,-78.82753,
42.95613,-78.82754,
42.95614,-78.82756,
42.95614,-78.82756,
42.95614,-78.82757,
42.95613,-78.82757,
42.95613,-78.82757,
42.95614,-78.82757,
42.95614,-78.82757,
42.95614,-78.82758,
42.95613,-78.82759,
42.95613,-78.82761,
42.95612,-78.82763,
42.95612,-78.82764,
42.95611,-78.82766,
42.95609,-78.82768,
42.95606,-78.82769,
42.95604,-78.8277,
42.95602,-78.82772,
42.956,-78.82772,
42.95599,-78.82773,
42.95599,-78.82773,
42.95598,-78.82774,
42.95598,-78.82774,
42.95596,-78.82774,
42.95596,-78.82774,
42.95596,-78.82775,
42.95595,-78.82775,
42.95595,-78.82777,
42.95595,-78.82777,
42.95594,-78.82778,
42.95593,-78.82779,
42.95592,-78.8278,
42.95591,-78.82781,
42.9559,-78.82782,
42.95589,-78.82783,
42.95589,-78.82784,
42.95588,-78.82785,
42.95588,-78.82787,
42.95588,-78.82788,
42.95588,-78.82788,
42.95587,-78.8279,
42.95587,-78.82791,
42.95586,-78.82793,
42.95585,-78.82794,
42.95584,-78.82796,
42.95583,-78.82797,
42.95583,-78.82798,
42.95583,-78.828,
42.95582,-78.82802,
42.95582,-78.82803,
42.95581,-78.82804,
42.9558,-78.82806,
42.95579,-78.82807,
42.95577,-78.82807,
42.95576,-78.82808,
42.95575,-78.82809,
42.95575,-78.82809,
42.95577,-78.82809,
42.95577,-78.8281,
42.95577,-78.82811,
42.95576,-78.82812,
42.95576,-78.82814,
42.95576,-78.82814,
42.95576,-78.82813,
42.95576,-78.82814,
42.95575,-78.82815,
42.95574,-78.82816,
42.95573,-78.82817,
42.95572,-78.82817,
42.95571,-78.82818,
42.95571,-78.82819,
42.95569,-78.8282,
42.95569,-78.82822,
42.95569,-78.82824,
42.95568,-78.82825,
42.95568,-78.82827,
42.95567,-78.82828,
42.95566,-78.82829,
42.95566,-78.8283,
42.95566,-78.82832,
42.95565,-78.82833,
42.95565,-78.82833,
42.95565,-78.82834,
42.95565,-78.82835,
42.95564,-78.82837,
42.95562,-78.82838,
42.95561,-78.82839,
42.9556,-78.8284,
42.9556,-78.82841,
42.9556,-78.82842,
42.9556,-78.82843,
42.95559,-78.82843,
42.95559,-78.82843,
42.95558,-78.82844,
42.95557,-78.82845,
42.95556,-78.82846,
42.95555,-78.82847,
42.95554,-78.82848,
42.95553,-78.8285,
42.95553,-78.82851,
42.95552,-78.82852,
42.95552,-78.82854,
42.95551,-78.82855,
42.9555,-78.82855,
42.95549,-78.82855,
42.95548,-78.82856,
42.95547,-78.82857,
42.95547,-78.82858,
42.95547,-78.82858,
42.95546,-78.82859,
42.95545,-78.82859,
42.95544,-78.82859,
42.95542,-78.8286,
42.9554,-78.82861,
42.9554,-78.82862,
42.9554,-78.82863,
42.95538,-78.82864,
42.95538,-78.82864,
42.95538,-78.82865,
42.95537,-78.82866,
42.95536,-78.82867,
42.95535,-78.82867,
42.95534,-78.82868,
42.95533,-78.82867,
42.95532,-78.82868,
42.95532,-78.82868,
42.95531,-78.82869,
42.9553,-78.8287,
42.95529,-78.8287,
42.95527,-78.8287,
42.95526,-78.8287,
42.95524,-78.8287,
42.95523,-78.8287,
42.95523,-78.8287,
42.95522,-78.8287,
42.95521,-78.82869,
42.9552,-78.82867,
42.9552,-78.82866,
42.95519,-78.82865,
42.95518,-78.82864,
42.95518,-78.82863,
42.95517,-78.82862,
42.95517,-78.82861,
42.95517,-78.8286,
42.95516,-78.82859,
42.95516,-78.82858,
42.95515,-78.82857,
42.95514,-78.82855,
42.95513,-78.82854,
42.95513,-78.82852,
42.95513,-78.82851,
42.95512,-78.8285,
42.95511,-78.82848,
42.95511,-78.82847,
42.9551,-78.82846,
42.95509,-78.82844,
42.95508,-78.82843,
42.95508,-78.82842,
42.95508,-78.82841,
42.95507,-78.8284,
42.95506,-78.82839,
42.95506,-78.82838,
42.95506,-78.82838,
42.95505,-78.82837,
42.95505,-78.82837,
42.95505,-78.82837,
42.95504,-78.82836,
42.95504,-78.82836,
42.95504,-78.82835,
42.95503,-78.82834,
42.95503,-78.82832,
42.95502,-78.82831,
42.95502,-78.82829,
42.95501,-78.82828,
42.955,-78.82825,
42.95499,-78.82824,
42.95497,-78.82823,
42.95497,-78.82822,
42.95497,-78.82821,
42.95496,-78.8282,
42.95496,-78.82818,
42.95496,-78.82815,
42.95495,-78.82813,
42.95494,-78.82811,
42.95492,-78.8281,
42.95491,-78.82809,
42.9549,-78.82808,
42.95489,-78.82807,
42.95488,-78.82806,
42.95487,-78.82805,
42.95486,-78.82803,
42.95486,-78.82802,
42.95486,-78.828,
42.95485,-78.82798,
42.95484,-78.82796,
42.95483,-78.82795,
42.95482,-78.82793,
42.95482,-78.82792,
42.95481,-78.82792,
42.9548,-78.82792,
42.95479,-78.82791,
42.95479,-78.8279,
42.95479,-78.82789,
42.95481,-78.82788,
42.95481,-78.82789,
42.9548,-78.82789,
42.9548,-78.82791,
42.95481,-78.82793,
42.9548,-78.82794,
42.95479,-78.82794,
42.95479,-78.82794,
42.95479,-78.82794,
42.95479,-78.82796,
42.95479,-78.82797,
42.95479,-78.82797,
42.95479,-78.82798,
42.95479,-78.828,
42.95478,-78.82801,
42.95477,-78.82802,
42.95475,-78.82804,
42.95474,-78.82805,
42.95472,-78.82806,
42.95471,-78.82807,
42.9547,-78.82807,
42.95469,-78.82807,
42.95468,-78.82808,
42.95467,-78.82808,
42.95466,-78.82809,
42.95466,-78.8281,
42.95464,-78.8281,
42.95463,-78.8281,
42.95461,-78.8281,
42.9546,-78.8281,
42.95459,-78.82811,
42.95459,-78.82813,
42.95458,-78.82814,
42.95457,-78.82815,
42.95456,-78.82815,
42.95455,-78.82816,
42.95455,-78.82818,
42.95455,-78.82818,
42.95454,-78.82818,
42.95454,-78.82819,
42.95453,-78.8282,
42.95452,-78.82821,
42.95452,-78.82822,
42.95451,-78.82823,
42.9545,-78.82824,
42.9545,-78.82824,
42.95449,-78.82825,
42.95449,-78.82827,
